NUM TDA,NOMBRE DE TDA,CADENA,FORMATO,MUNICIPIO/CIUDAD,ESTADO,DIVISION,DEPOSITO / DISTRIBUIDOR,ESTRUCTURA,GRADO
2489,New Brown GreatShop,proveedor_2,Grocery,Young Chocolate Burgo,Marcotho,BAJÍO,Marodio Vocals,FORANEO,III
2490,New Cyan CoffeShop,proveedor_2,Grocery,Dead Orchid Stone,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2492,Big Brown BigCom,proveedor_2,SmallShop,Dirty Azure Ship,Rodbare,METRO-NORTE,Thrilarbar Toughworks,METRO,VI
2493,Impressive Chartreuse BigCenter,proveedor_2,Grocery,Young Aquamarine Waters,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2494,Empty Crimson CoffeShop,proveedor_2,Grocery,Evil Pink Vessel,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
2495,Bizarre Orange Grocery,proveedor_2,Grocery,Evil Pink Vessel,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
2497,Dangerous Violet LunchHall,proveedor_2,Grocery,Rare Navy Dirt,Rodbare,SUROESTE,Thoiomad Vocals,DISTRIBUIDORES,VI
2498,Old Burgundy Cafe,proveedor_2,Grocery,Rare Navy Dirt,Rodbare,SUROESTE,Thoiomad Vocals,DISTRIBUIDORES,VI
2499,Tall Lavender HairDresser,proveedor_2,Grocery,Rare Navy Dirt,Rodbare,METRO-NORTE,Thrilarbar Toughworks,METRO,VI
2500,Alive Dark Bank,proveedor_2,Grocery,Awful Fuchsia Tower,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2501,Long Golden SmallShop,proveedor_2,Grocery,Awful Fuchsia Tower,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2502,Little Navy Market,proveedor_2,Grocery,Awful Fuchsia Tower,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2503,Horrible Salmon Florist,proveedor_2,Grocery,Awful Fuchsia Tower,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2505,Awesome Pink GreatShop,proveedor_2,AllInOne,Rare Green Ledge,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
2507,Rare Olive Mall,proveedor_2,SmallShop,Interesting Chocolate Stone,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
2508,Interesting Coral Cafe,proveedor_2,SmallShop, Maroon Bay,Eemar,BAJÍO,Lormarmad Corp.,FORANEO,II
2510,Great White LunchHall,proveedor_2,SmallShop,Alive Purple Beach,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2513,Angry Indigo HairDresser,proveedor_2,Grocery,Funny Salmon Vessel,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2514,Impressive Salmon Market,proveedor_2,Grocery,High Chartreuse Empire,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2515,Tall White BigCom,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2518,Alive Lime Convenience,proveedor_2,Grocery,Young Blue Beach,Gulvitval,NORESTE,Barrusgul Corp.,FORANEO,II
2520,Awesome Silver Stationer,proveedor_2,Grocery,Singing Grey Empire,Alfrusma,OCCIDENTE,Barthrilal Vocals,FORANEO,III
2522,Long Lime Jeweller,proveedor_2,Grocery,Dead Orchid Stone,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2525,Massive Olive GreatShop,proveedor_2,AllInOne,Horrible Chartreuse Mud,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
2529,Alive Purple Jeweller,proveedor_2,AllInOne,Legendary Maroon River,Gulvitval,NOROESTE,Lorealf Industrail,FORANEO,II
2531,Empty Aqua Stationer,proveedor_2,Grocery,Young Aquamarine Waters,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2532,Impressive Olive Baker,proveedor_2,Grocery,Young Aquamarine Waters,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2534,Clean Olive TinyShop,proveedor_2,Grocery,Defiant Brown Valley,Gulalco,OCCIDENTE,Arthona Vocals,FORANEO,I
2535,Angry Burgundy GipsyTrade,proveedor_2,Grocery,Defiant Brown Valley,Gulalco,OCCIDENTE,Arthona Vocals,FORANEO,I
2536,Enlightened Aquamarine AllInOne,proveedor_2,Grocery,Defiant Brown Valley,Gulalco,OCCIDENTE,Arthona Vocals,FORANEO,I
2537,First Sky Blue GreatShop,proveedor_2,Grocery,Defiant Brown Valley,Gulalco,OCCIDENTE,Arthona Vocals,FORANEO,I
2540,Massive Beige Grocery,proveedor_2,Leftorium,Old Green River,Thogulgul,SURESTE,Malormad Corp.,FORANEO,II
2541,Bad Green Laundrette,proveedor_2,Leftorium,Young Silver Applepie,Erodmo,BAJÍO,Gornalfmo Inc.,FORANEO,III
2543, Azure Leftorium,proveedor_2,AllInOne,First Coral Jungle,Erodmo,BAJÍO,Lorrodthril Corp.,FORANEO,III
2547,Old Lime Butcher,proveedor_2,Grocery,Angry Indigo Applepie,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
2548,Massive Orchid Fishmonger,proveedor_2,AllInOne,Rare Sea Green Beach,Lorthogul,BAJÍO,Rodgullor Ifonforge Industries,DISTRIBUIDORES,II
2549,Rare Lavender TallMarket,proveedor_2,Grocery,Young Chocolate Burgo,Marcotho,BAJÍO,Marodio Vocals,FORANEO,III
2550,Defiant Grey Laundrette,proveedor_2,Grocery,Young Chocolate Burgo,Marcotho,BAJÍO,Marodio Vocals,FORANEO,III
2552,Dull Dark CoffeShop,proveedor_2,Grocery,Defiant Violet Beach,Eemar,BAJÍO,Lormarmad Corp.,FORANEO,II
2553,Dirty Orchid BigCom,proveedor_2,Grocery,Defiant Violet Beach,Eemar,BAJÍO,Lormarmad Corp.,FORANEO,II
2554, Burgundy Florist,proveedor_2,Grocery,First Salmon Rock,Lorvalmo,BAJÍO,Argule Ifonforge Industries,FORANEO,IV
2556,Enlightened Cyan Fishmonger,proveedor_2,TinyShop,First Dark Creek,Barthovit,METRO-NORTE,Thrilarbar Toughworks,METRO,II
2557,Clean Cyan Florist,proveedor_2,Grocery,Singing Brown Mud,Thrilvallor,CENTRO,Naargul Inc.,DISTRIBUIDORES,IV
2558,Bizarre Indigo Shop,proveedor_2,Grocery,Singing Brown Mud,Thrilvallor,CENTRO,Naargul Inc.,DISTRIBUIDORES,IV
2559,Dangerous Green Florist,proveedor_2,Grocery,Singing Brown Mud,Thrilvallor,CENTRO,Naargul Inc.,DISTRIBUIDORES,IV
2560,Legendary Khaki Leftorium,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Barmaralf Inc.,METRO,V
2563,Horrible Violet Chemist,proveedor_2,Grocery,Interesting Magenta Soil,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2564,Small Turquoise Tobacconist,proveedor_2,Grocery,Last Sky Blue Baton,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2566,Alive Indigo Tobacconist,proveedor_2,Grocery,Old Sea Green Soil,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2567,Singing Salmon Center,proveedor_2,Grocery,Old Sea Green Soil,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2569,Short Indigo Chemist,proveedor_2,Grocery,Awful Beige ,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
2571,Bloody Navy Chemist,proveedor_2,Grocery,Awful Sea Green Bay,Lorgornco,CENTRO,Vitgusmad Industrail,DISTRIBUIDORES,IV
2574,Kicking Navy AllInOne,proveedor_2,GipsyTrade,Empty Chartreuse Butter,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
2575,Evil Purple Tobacconist,proveedor_2,Grocery,Tiny Chocolate River,Alloralf,METRO-NORTE,Ioarco Corp.,METRO,IV
2576,Horrible Blue TallMarket,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2577,Short Chocolate Chemist,proveedor_2,Grocery,Old Sea Green Soil,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2579,Alive Sky Blue Bank,proveedor_2,Grocery,Enlightened Blue Polis,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
2580,Last Coral Baker,proveedor_2,Grocery,Dead Orchid Stone,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2581,Alive Brown Deli,proveedor_2,Grocery,Rare Violet Beach,Lorvalmo,BAJÍO,Argule Ifonforge Industries,FORANEO,IV
2584,Dead Coral GreatShop,proveedor_2,Grocery,Young Aquamarine Waters,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2585,Young Coral SmallShop,proveedor_2,Grocery,Young Aquamarine Waters,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2586,Little Maroon Fishmonger,proveedor_2,AllInOne,Dirty Azure Shop,Momamo,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,I
2587,Empty Blue Bank,proveedor_2,SmallShop,Horrible Dark Rock,Eemar,BAJÍO,Lormarmad Corp.,FORANEO,II
2588,Massive Khaki Market,proveedor_2,SmallShop,New Purple Dirt,Madgulrus,NOROESTE,Lorvalval Inc.,FORANEO,II
2591, Cyan BigCom,proveedor_2,AllInOne,Awesome Blue City,Thogulgul,SURESTE,Malormad Corp.,FORANEO,II
2592,First Silver Laundrette,proveedor_2,Grocery,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
2593,First Violet BigCenter,proveedor_2,SmallShop,Singing Sea Green Peak,Erodmo,BAJÍO,Lorrodthril Corp.,FORANEO,III
2594,Bloody Purple BookShop,proveedor_2,SmallShop,Dead Lime Butter,Alfthrilmad,NOROESTE,Argullor Ifonforge Industries,FORANEO,II
2595,Angry White Fishmonger,proveedor_2,SmallShop,Funny Brown Creek,Erodmo,BAJÍO,Lorrodthril Corp.,FORANEO,III
2597,Long Lemon HairDresser,proveedor_2,AllInOne,High Aquamarine Polis,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
2603,Legendary Brown Market,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
2604,Interesting Maroon Shop,proveedor_2,Grocery,Young Chocolate Burgo,Marcotho,BAJÍO,Marodio Vocals,FORANEO,III
2605,Singing Lemon BookShop,proveedor_2,Grocery,Young Chocolate Burgo,Marcotho,BAJÍO,Marodio Vocals,FORANEO,III
2608, Sky Blue Fishmonger,proveedor_2,Grocery,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
2609,Dead Azure Laundrette,proveedor_2,Grocery,Dead Orchid Stone,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2610,High Lime Leftorium,proveedor_2,Grocery,Defiant Violet Beach,Eemar,BAJÍO,Lormarmad Corp.,FORANEO,II
2611, Lemon Stationer,proveedor_2,Grocery,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
2613,Clean Beige HairDresser,proveedor_2,Grocery,Awful Fuchsia Tower,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2614,Alive Violet BookShop,proveedor_2,Grocery,Awful Fuchsia Tower,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2615,Dull Cyan Cafe,proveedor_2,Grocery,Awful Fuchsia Tower,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2616,Massive Aquamarine HairDresser,proveedor_2,Grocery,Singing Brown Mud,Thrilvallor,CENTRO,Naargul Inc.,DISTRIBUIDORES,IV
2617,Massive Fuchsia Stationer,proveedor_2,Grocery,Enlightened Violet Capital,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2618,Dead Red TallMarket,proveedor_2,Grocery,Enlightened Violet Capital,Namobar,OCCIDENTE,Arthona Vocals,FORANEO,III
2619,First Orchid Butcher,proveedor_2,Grocery,Bloody Beige Tree,Lorvalmo,BAJÍO,Thrilear Industrail,FORANEO,IV
2620,New Purple AllInOne,proveedor_2,Grocery,Bloody Beige Tree,Lorvalmo,BAJÍO,Thrilear Industrail,FORANEO,IV
2627,Kicking Violet Bank,proveedor_2,Grocery,Angry Indigo Applepie,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
2628,Dull Purple LunchHall,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2629,Bloody Crimson SuperMarket,proveedor_2,Grocery,Rare Green Ledge,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2630,Bloody Khaki Deli,proveedor_2,Grocery,Funny Salmon Vessel,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2631,Bad Crimson HairDresser,proveedor_2,Grocery,Funny Salmon Vessel,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2632,Impressive White Butcher,proveedor_2,Grocery,Legendary Orange Dirt,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2633,Dirty Chartreuse BookShop,proveedor_2,Grocery, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
2634,Small Golden HairDresser,proveedor_2,Grocery,Dull Sea Green Butter,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
2637,Little Aquamarine BigCom,proveedor_2,Grocery,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
2638,Awful Sea Green TinyShop,proveedor_2,Grocery,Singing Grey Empire,Alfrusma,OCCIDENTE,Barthrilal Vocals,FORANEO,III
2639,Dirty Olive CoffeShop,proveedor_2,Grocery,First Salmon Rock,Lorvalmo,BAJÍO,Argule Ifonforge Industries,FORANEO,IV
2640,Old Coral Chemist,proveedor_2,Grocery,Awful Sea Green Bay,Lorgornco,CENTRO,Vitgusmad Industrail,DISTRIBUIDORES,IV
2641,New Navy TinyShop,proveedor_2,Grocery,Defiant Brown Valley,Gulalco,OCCIDENTE,Arthona Vocals,FORANEO,I
2642,Massive Yellow Stationer,proveedor_2,Grocery,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
2643,Awesome Purple Jeweller,proveedor_2,Leftorium,Great Violet Rock,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
2645,Tall Maroon Convenience,proveedor_2,Leftorium,First Golden Castle,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
2646,Rare Azure Market,proveedor_2,Leftorium,Dirty Azure Shop,Momamo,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,I
2648,High Violet TallMarket,proveedor_2,Leftorium,Singing Brown Mud,Thrilvallor,CENTRO,Naargul Inc.,DISTRIBUIDORES,IV
2652,Dangerous Sky Blue Tobacconist,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2654,Tiny Beige Chemist,proveedor_2,BigCom,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilvitar Industrail,METRO,V
2658,Dirty Silver Deli,proveedor_2,Grocery,Old Orchid Metropolis,Egusgul,CENTRO-SUR,Erodmad Industrail,FORANEO,IV
2660,Alive Burgundy Tobacconist,proveedor_2,Grocery,Young Aquamarine Waters,Alfthrilmad,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,II
2663,Rare Coral Stationer,proveedor_2,Grocery,Kicking Red ,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
2664,Dead Black SuperMarket,proveedor_2,AllInOne,Bad White Tree,Coalmar,SURESTE,Mogulval Corp.,DISTRIBUIDORES,VI
2665,Last Navy Fishmonger,proveedor_2,AllInOne,Interesting Maroon Capital,Emarrus,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,I
2666,Awesome Silver Cafe,proveedor_2,AllInOne,Dead Orange Ship,Egusgul,CENTRO-SUR,Erodmad Industrail,FORANEO,IV
2667,Great Brown SuperMarket,proveedor_2,AllInOne,Big Khaki River,Lorgulgus,CENTRO-SUR,Rusrusma Gmbh,DISTRIBUIDORES,IV
2669,Angry Sky Blue Market,proveedor_2,SmallShop,New Chocolate Stone,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
2670,Horrible Aquamarine Fishmonger,proveedor_2,Leftorium,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
2676,Tiny Crimson Leftorium,proveedor_2,Leftorium,Clean Chartreuse Valley,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
2689,Dangerous Dark Bank,proveedor_2,Leftorium,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
2700,Old Crimson Leftorium,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
2701,Kicking Sky Blue GreatShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
2702,Dead White Market,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
2703,Dirty Brown Leftorium,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
2704,Legendary Fuchsia GreatShop,proveedor_2,Grocery,Rare Lemon Key,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
2707,Dangerous Cyan AllInOne,proveedor_2,Grocery,Massive Pink Ledge,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2708,Long Chartreuse Stationer,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
2710, Aqua Chemist,proveedor_2,SmallShop,Tall Chocolate Burgo,Madgulrus,NORESTE,Barrusgul Corp.,FORANEO,II
2712,Defiant Navy Leftorium,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2713,Tiny Grey Cafe,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2714,Enlightened Turquoise Florist,proveedor_2,Grocery,Funny Salmon Vessel,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2715,Kicking Silver Market,proveedor_2,Grocery,Clean Chartreuse Valley,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2719,Clean Lavender Cafe,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
2721,Dirty Indigo Jeweller,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
2722,Rare Cyan Florist,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Marvitrus Ifonforge Industries,METRO,V
2723,Impressive Aquamarine TallMarket,proveedor_2,Grocery,New Aqua Jungle,Alloralf,METRO-SUR,Barmaralf Inc.,METRO,IV
2724,High Violet CoffeShop,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
2727,Big Pink HighShop,proveedor_2,Grocery,Awesome Aqua Barrier,Alloralf,METRO-NORTE,Ioarco Corp.,METRO,IV
2728,Tall Lime BigCenter,proveedor_2,Grocery,Long Chocolate Barrier,Alloralf,CENTRO,Movitalf Empire,DISTRIBUIDORES,IV
2729,Little Yellow AllInOne,proveedor_2,Grocery,Legendary Orange Dirt,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2730,Rare Purple Center,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2731,Dull Lavender Tobacconist,proveedor_2,Leftorium,Young Grey Peak,Alflorval,CENTRO,Gornmadvit Industrail,DISTRIBUIDORES,IV
2732,High Purple AllInOne,proveedor_2,Leftorium, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
2733,Tiny Azure Cafe,proveedor_2,Leftorium,First Salmon Rock,Lorvalmo,BAJÍO,Argule Ifonforge Industries,FORANEO,IV
2734,Empty Green Stationer,proveedor_2,Leftorium,Old Beige Bay,Alfrusma,OCCIDENTE,Lorgulbar Inc.,DISTRIBUIDORES,III
2735,Funny Orange Mall,proveedor_2,Leftorium,Tall Indigo Waters,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
2736,First Red SmallShop,proveedor_2,AllInOne,Bloody Maroon Pine,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
2737,Singing Salmon Deli,proveedor_2,AllInOne,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
2738,Angry Orchid Tobacconist,proveedor_2,AllInOne,First Dark Creek,Barthovit,NORESTE,Thrilmamad Vocals,FORANEO,II
2740,Impressive Aqua LunchHall,proveedor_2,AllInOne,Great Navy Stone,Madgulrus,NORESTE,Barrusgul Corp.,FORANEO,II
2741, Cyan Jeweller,proveedor_2,AllInOne,Young Blue Beach,Gulvitval,NORESTE,Thrilmamad Vocals,FORANEO,II
2742,Enlightened Red TallMarket,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilvitar Industrail,METRO,V
2747,Massive Fuchsia Center,proveedor_2,Grocery,Horrible Chartreuse Mud,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
2748,Evil Lavender Butcher,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2749,Interesting Beige GreatShop,proveedor_2,Grocery,Funny Grey Jungle,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2750,Legendary Chartreuse Butcher,proveedor_2,Grocery,Young White Tower,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2752,New Grey Chemist,proveedor_2,Grocery,Big Coral Polis,Alloralf,METRO-SUR,Barmaralf Inc.,METRO,IV
2753,Great Beige AllInOne,proveedor_2,Grocery,Last Pink River,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
2755,Great Coral Florist,proveedor_2,Grocery,Great Violet Rock,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
2756,First Brown GipsyTrade,proveedor_2,Grocery,Clean Chartreuse Valley,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2757,Angry Sky Blue Shop,proveedor_2,Grocery,Clean Chartreuse Valley,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2758,Singing Navy Laundrette,proveedor_2,Grocery,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
2759,Defiant Orchid GipsyTrade,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
2760,Big Crimson BookShop,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
2761,Funny White Deli,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
2762, Olive Center,proveedor_2,Grocery,Angry Azure Waters,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2763,Alive Aquamarine Shop,proveedor_2,Grocery,Young White Tower,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2765,Singing Indigo Leftorium,proveedor_2,Leftorium, Cyan Star,Armamo,NOROESTE,Rusbargus Ifonforge Industries,FORANEO,I
2766,Bad Maroon Market,proveedor_2,GipsyTrade,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
2767,Empty Yellow Cafe,proveedor_2,AllInOne,Enlightened Dark Empire,Magornmar,METRO-SUR,Ioalfio Ifonforge Industries,METRO,V
2768,Interesting Salmon Shop,proveedor_2,AllInOne,Awful Sea Green Applepie,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
2769,Dead Lemon TinyShop,proveedor_2,AllInOne, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
2770,Funny Golden HairDresser,proveedor_2,BigCom,Enlightened Dark Empire,Magornmar,METRO-SUR,Thrilthoal Empire,METRO,V
2771,Clean Silver HighShop,proveedor_2,Grocery,Clean Chartreuse Valley,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2772,Bloody Lemon Bank,proveedor_2,Grocery,Evil White Baton,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
2773,Dead Blue HighShop,proveedor_2,Grocery,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
2774,First Aqua Market,proveedor_2,Grocery,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
2775,Little Orange BigCom,proveedor_2,Grocery,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
2777,Young Purple SuperMarket,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
2780,Defiant Blue Shop,proveedor_2,Grocery,Funny Grey Jungle,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2781,Tiny Silver Cafe,proveedor_2,Grocery,Empty Chartreuse Butter,Barthovit,NORESTE,Barrusgul Corp.,FORANEO,II
2782,Angry Olive BigCom,proveedor_2,SmallShop,Kicking Beige City,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
2783,Evil Red Cafe,proveedor_2,SmallShop,Awesome Magenta Town,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
2785,Bizarre Silver SuperMarket,proveedor_2,SmallShop,Awful Red City,Alloralf,CENTRO,Elortho Aerospace,FORANEO,IV
2786,Long Chocolate Stationer,proveedor_2,SmallShop,Massive Yellow Key,Lorgulgus,CENTRO-SUR,Rusrusma Gmbh,DISTRIBUIDORES,IV
2787,Long Violet Mall,proveedor_2,AllInOne,Impressive Orchid Soil,Madgulrus,NOROESTE,Lorvalval Inc.,FORANEO,II
2788,Small Purple LunchHall,proveedor_2,AllInOne, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
2790,Singing Dark Deli,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2791,Impressive Silver Mall,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2792,Awesome Azure BigCom,proveedor_2,Grocery,Little Silver Polis,Nabargus,OCCIDENTE,Arthona Vocals,FORANEO,III
2793,Funny Navy BigCenter,proveedor_2,Grocery,Bad Silver Dirt,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
2795,Young Salmon Mall,proveedor_2,Grocery,Long Lavender Butter,Alloralf,METRO-NORTE,Lorthogus Toughworks,METRO,IV
2796,Great Dark Fishmonger,proveedor_2,Grocery,New Aqua Jungle,Alloralf,METRO-SUR,Barmaralf Inc.,METRO,IV
2802,Dead Lime Mall,proveedor_2,Grocery,Rare Lemon Key,Alloralf,METRO-SUR,Rusrusmo Toughworks,METRO,IV
2804,Bad Lavender Laundrette,proveedor_2,Grocery,Enlightened Dark Empire,Magornmar,METRO-NORTE,Marvitrus Ifonforge Industries,METRO,V
2805,Short Olive TallMarket,proveedor_2,GipsyTrade,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
2808,Empty Black Stationer,proveedor_2,AllInOne, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
